dataset_id,case_id,is_id,size_class,severity,replicate_id,replicate_key_used,replicate_fallback_reason,method_a,method_b,coverage,n_A,n_B
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-leicht,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-leicht,large,leicht,202,seed_global,,V2,V3,0.0,2,25
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-leicht,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-leicht,large,leicht,202,seed_global,,V2,V4,0.0,2,146
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-leicht,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-leicht,large,leicht,202,seed_global,,V3,V1,0.3333333333333333,25,3
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-leicht,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-leicht,large,leicht,202,seed_global,,V3,V2,0.5,25,2
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-leicht,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-leicht,large,leicht,202,seed_global,,V3,V3,0.0,25,25
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-leicht,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-leicht,large,leicht,202,seed_global,,V3,V4,0.4726027397260274,25,146
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-leicht,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-leicht,large,leicht,202,seed_global,,V4,V1,0.3333333333333333,146,3
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-leicht,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-leicht,large,leicht,202,seed_global,,V4,V2,0.5,146,2
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-leicht,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-leicht,large,leicht,202,seed_global,,V4,V3,0.2,146,25
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-leicht,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-leicht,large,leicht,202,seed_global,,V4,V4,0.0,146,146
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-leicht,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-leicht,large,leicht,303,seed_global,,V1,V1,0.0,4,4
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-leicht,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-leicht,large,leicht,303,seed_global,,V1,V2,0.0,4,2
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-leicht,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-leicht,large,leicht,303,seed_global,,V1,V3,0.0,4,23
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-leicht,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-leicht,large,leicht,303,seed_global,,V1,V4,0.0,4,132
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-leicht,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-leicht,large,leicht,303,seed_global,,V2,V1,0.0,2,4
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-leicht,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-leicht,large,leicht,303,seed_global,,V2,V2,0.0,2,2
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-leicht,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-leicht,large,leicht,303,seed_global,,V2,V3,0.0,2,23
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-leicht,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-leicht,large,leicht,303,seed_global,,V2,V4,0.0,2,132
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-leicht,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-leicht,large,leicht,303,seed_global,,V3,V1,0.25,23,4
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-leicht,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-leicht,large,leicht,303,seed_global,,V3,V2,0.5,23,2
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-leicht,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-leicht,large,leicht,303,seed_global,,V3,V3,0.0,23,23
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-leicht,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-leicht,large,leicht,303,seed_global,,V3,V4,0.030303030303030304,23,132
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-leicht,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-leicht,large,leicht,303,seed_global,,V4,V1,0.25,132,4
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-leicht,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-leicht,large,leicht,303,seed_global,,V4,V2,0.5,132,2
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-leicht,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-leicht,large,leicht,303,seed_global,,V4,V3,0.6086956521739131,132,23
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-leicht,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-leicht,large,leicht,303,seed_global,,V4,V4,0.0,132,132
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-mittel,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-mittel,large,mittel,101,seed_global,,V1,V1,0.0,6,6
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-mittel,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-mittel,large,mittel,101,seed_global,,V1,V2,,6,0
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-mittel,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-mittel,large,mittel,101,seed_global,,V1,V3,0.0,6,20
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-mittel,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-mittel,large,mittel,101,seed_global,,V1,V4,0.0,6,168
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-mittel,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-mittel,large,mittel,101,seed_global,,V2,V1,0.0,0,6
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-mittel,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-mittel,large,mittel,101,seed_global,,V2,V2,,0,0
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-mittel,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-mittel,large,mittel,101,seed_global,,V2,V3,0.0,0,20
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-mittel,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-mittel,large,mittel,101,seed_global,,V2,V4,0.0,0,168
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-mittel,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-mittel,large,mittel,101,seed_global,,V3,V1,0.5,20,6
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-mittel,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-mittel,large,mittel,101,seed_global,,V3,V2,,20,0
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-mittel,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-mittel,large,mittel,101,seed_global,,V3,V3,0.0,20,20
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-mittel,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-mittel,large,mittel,101,seed_global,,V3,V4,0.07738095238095238,20,168
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-mittel,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-mittel,large,mittel,101,seed_global,,V4,V1,0.5,168,6
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-mittel,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-mittel,large,mittel,101,seed_global,,V4,V2,,168,0
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-mittel,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-mittel,large,mittel,101,seed_global,,V4,V3,0.65,168,20
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-mittel,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-mittel,large,mittel,101,seed_global,,V4,V4,0.0,168,168
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-mittel,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-mittel,large,mittel,202,seed_global,,V1,V1,0.0,4,4
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-mittel,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-mittel,large,mittel,202,seed_global,,V1,V2,,4,0
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-mittel,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-mittel,large,mittel,202,seed_global,,V1,V3,0.0,4,24
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-mittel,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-mittel,large,mittel,202,seed_global,,V1,V4,0.0,4,129
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-mittel,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-mittel,large,mittel,202,seed_global,,V2,V1,0.0,0,4
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-mittel,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-mittel,large,mittel,202,seed_global,,V2,V2,,0,0
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-mittel,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-mittel,large,mittel,202,seed_global,,V2,V3,0.0,0,24
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-mittel,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-mittel,large,mittel,202,seed_global,,V2,V4,0.0,0,129
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-mittel,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-mittel,large,mittel,202,seed_global,,V3,V1,0.5,24,4
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-mittel,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-mittel,large,mittel,202,seed_global,,V3,V2,,24,0
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-mittel,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-mittel,large,mittel,202,seed_global,,V3,V3,0.0,24,24
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-mittel,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-mittel,large,mittel,202,seed_global,,V3,V4,0.0,24,129
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-mittel,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-mittel,large,mittel,202,seed_global,,V4,V1,0.5,129,4
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-mittel,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-mittel,large,mittel,202,seed_global,,V4,V2,,129,0
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-mittel,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-mittel,large,mittel,202,seed_global,,V4,V3,0.9583333333333334,129,24
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-mittel,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-mittel,large,mittel,202,seed_global,,V4,V4,0.0,129,129
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-mittel,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-mittel,large,mittel,303,seed_global,,V1,V1,0.0,5,5
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-mittel,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-mittel,large,mittel,303,seed_global,,V1,V2,0.3333333333333333,5,3
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-mittel,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-mittel,large,mittel,303,seed_global,,V1,V3,0.46153846153846156,5,26
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-mittel,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-mittel,large,mittel,303,seed_global,,V1,V4,0.3798449612403101,5,129
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-mittel,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-mittel,large,mittel,303,seed_global,,V2,V1,0.0,3,5
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-mittel,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-mittel,large,mittel,303,seed_global,,V2,V2,0.0,3,3
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-mittel,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-mittel,large,mittel,303,seed_global,,V2,V3,0.0,3,26
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-mittel,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-mittel,large,mittel,303,seed_global,,V2,V4,0.0,3,129
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-mittel,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-mittel,large,mittel,303,seed_global,,V3,V1,0.2,26,5
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-mittel,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-mittel,large,mittel,303,seed_global,,V3,V2,0.6666666666666666,26,3
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-mittel,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-mittel,large,mittel,303,seed_global,,V3,V3,0.0,26,26
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-mittel,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-mittel,large,mittel,303,seed_global,,V3,V4,0.0,26,129
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-mittel,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-mittel,large,mittel,303,seed_global,,V4,V1,0.2,129,5
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-mittel,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-mittel,large,mittel,303,seed_global,,V4,V2,0.6666666666666666,129,3
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-mittel,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-mittel,large,mittel,303,seed_global,,V4,V3,0.9615384615384616,129,26
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-mittel,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-mittel,large,mittel,303,seed_global,,V4,V4,0.0,129,129
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-schwer,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-schwer,large,schwer,101,seed_global,,V1,V1,0.0,4,4
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-schwer,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-schwer,large,schwer,101,seed_global,,V1,V2,,4,0
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-schwer,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-schwer,large,schwer,101,seed_global,,V1,V3,0.0,4,24
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-schwer,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-schwer,large,schwer,101,seed_global,,V1,V4,0.0,4,126
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-schwer,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-schwer,large,schwer,101,seed_global,,V2,V1,0.0,0,4
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-schwer,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-schwer,large,schwer,101,seed_global,,V2,V2,,0,0
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-schwer,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-schwer,large,schwer,101,seed_global,,V2,V3,0.0,0,24
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-schwer,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-schwer,large,schwer,101,seed_global,,V2,V4,0.0,0,126
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-schwer,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-schwer,large,schwer,101,seed_global,,V3,V1,0.25,24,4
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-schwer,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-schwer,large,schwer,101,seed_global,,V3,V2,,24,0
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-schwer,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-schwer,large,schwer,101,seed_global,,V3,V3,0.0,24,24
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-schwer,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-schwer,large,schwer,101,seed_global,,V3,V4,0.07936507936507936,24,126
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-schwer,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-schwer,large,schwer,101,seed_global,,V4,V1,0.0,126,4
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-schwer,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-schwer,large,schwer,101,seed_global,,V4,V2,,126,0
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-schwer,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-schwer,large,schwer,101,seed_global,,V4,V3,0.625,126,24
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-schwer,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-schwer,large,schwer,101,seed_global,,V4,V4,0.0,126,126
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-schwer,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-schwer,large,schwer,202,seed_global,,V1,V1,0.0,5,5
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-schwer,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-schwer,large,schwer,202,seed_global,,V1,V2,,5,0
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-schwer,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-schwer,large,schwer,202,seed_global,,V1,V3,0.0,5,24
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-schwer,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-schwer,large,schwer,202,seed_global,,V1,V4,0.0,5,116
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-schwer,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-schwer,large,schwer,202,seed_global,,V2,V1,0.0,0,5
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-schwer,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-schwer,large,schwer,202,seed_global,,V2,V2,,0,0
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-schwer,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-schwer,large,schwer,202,seed_global,,V2,V3,0.0,0,24
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-schwer,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-schwer,large,schwer,202,seed_global,,V2,V4,0.0,0,116
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-schwer,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-schwer,large,schwer,202,seed_global,,V3,V1,0.0,24,5
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-schwer,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-schwer,large,schwer,202,seed_global,,V3,V2,,24,0
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-schwer,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-schwer,large,schwer,202,seed_global,,V3,V3,0.0,24,24
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-schwer,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-schwer,large,schwer,202,seed_global,,V3,V4,0.14655172413793102,24,116
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-schwer,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-schwer,large,schwer,202,seed_global,,V4,V1,0.0,116,5
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-schwer,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-schwer,large,schwer,202,seed_global,,V4,V2,,116,0
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-schwer,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-schwer,large,schwer,202,seed_global,,V4,V3,0.625,116,24
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-schwer,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-schwer,large,schwer,202,seed_global,,V4,V4,0.0,116,116
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-schwer,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-schwer,large,schwer,303,seed_global,,V1,V1,0.0,4,4
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-schwer,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-schwer,large,schwer,303,seed_global,,V1,V2,,4,0
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-schwer,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-schwer,large,schwer,303,seed_global,,V1,V3,0.0,4,25
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-schwer,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-schwer,large,schwer,303,seed_global,,V1,V4,0.0,4,215
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-schwer,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-schwer,large,schwer,303,seed_global,,V2,V1,0.0,0,4
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-schwer,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-schwer,large,schwer,303,seed_global,,V2,V2,,0,0
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-schwer,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-schwer,large,schwer,303,seed_global,,V2,V3,0.0,0,25
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-schwer,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-schwer,large,schwer,303,seed_global,,V2,V4,0.0,0,215
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-schwer,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-schwer,large,schwer,303,seed_global,,V3,V1,0.0,25,4
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-schwer,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-schwer,large,schwer,303,seed_global,,V3,V2,,25,0
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-schwer,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-schwer,large,schwer,303,seed_global,,V3,V3,0.0,25,25
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-schwer,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-schwer,large,schwer,303,seed_global,,V3,V4,0.35348837209302325,25,215
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-schwer,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-schwer,large,schwer,303,seed_global,,V4,V1,0.25,215,4
