dataset_id,case_id,is_id,size_class,severity,method_a,method_b,coverage,n_A,n_B
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-mittel,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-mittel,large,mittel,V2,V3,0.0,3,39
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-mittel,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-mittel,large,mittel,V2,V4,0.0,3,177
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-mittel,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-mittel,large,mittel,V3,V1,0.36363636363636365,39,11
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-mittel,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-mittel,large,mittel,V3,V2,0.6666666666666666,39,3
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-mittel,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-mittel,large,mittel,V3,V3,0.0,39,39
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-mittel,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-mittel,large,mittel,V3,V4,0.04519774011299435,39,177
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-mittel,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-mittel,large,mittel,V4,V1,0.36363636363636365,177,11
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-mittel,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-mittel,large,mittel,V4,V2,0.6666666666666666,177,3
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-mittel,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-mittel,large,mittel,V4,V3,0.9230769230769231,177,39
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-mittel,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-mittel,large,mittel,V4,V4,0.0,177,177
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-schwer,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-schwer,large,schwer,V1,V1,0.0,8,8
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-schwer,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-schwer,large,schwer,V1,V2,,8,0
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-schwer,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-schwer,large,schwer,V1,V3,0.0,8,47
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-schwer,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-schwer,large,schwer,V1,V4,0.0,8,209
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-schwer,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-schwer,large,schwer,V2,V1,0.0,0,8
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-schwer,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-schwer,large,schwer,V2,V2,,0,0
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-schwer,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-schwer,large,schwer,V2,V3,0.0,0,47
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-schwer,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-schwer,large,schwer,V2,V4,0.0,0,209
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-schwer,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-schwer,large,schwer,V3,V1,0.125,47,8
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-schwer,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-schwer,large,schwer,V3,V2,,47,0
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-schwer,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-schwer,large,schwer,V3,V3,0.0,47,47
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-schwer,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-schwer,large,schwer,V3,V4,0.18181818181818182,47,209
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-schwer,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-schwer,large,schwer,V4,V1,0.125,209,8
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-schwer,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-schwer,large,schwer,V4,V2,,209,0
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-schwer,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-schwer,large,schwer,V4,V3,0.5106382978723404,209,47
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-schwer,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-schwer,large,schwer,V4,V4,0.0,209,209
praxisnah_v1,sc-large__av-loose__dp-weekend_high__sev-leicht,praxisnah_v1__sc-large__av-loose__dp-weekend_high__sev-leicht,large,leicht,V1,V1,0.0,8,8
praxisnah_v1,sc-large__av-loose__dp-weekend_high__sev-leicht,praxisnah_v1__sc-large__av-loose__dp-weekend_high__sev-leicht,large,leicht,V1,V2,0.0,8,3
praxisnah_v1,sc-large__av-loose__dp-weekend_high__sev-leicht,praxisnah_v1__sc-large__av-loose__dp-weekend_high__sev-leicht,large,leicht,V1,V3,0.23076923076923078,8,39
praxisnah_v1,sc-large__av-loose__dp-weekend_high__sev-leicht,praxisnah_v1__sc-large__av-loose__dp-weekend_high__sev-leicht,large,leicht,V1,V4,0.3146853146853147,8,143
praxisnah_v1,sc-large__av-loose__dp-weekend_high__sev-leicht,praxisnah_v1__sc-large__av-loose__dp-weekend_high__sev-leicht,large,leicht,V2,V1,0.0,3,8
praxisnah_v1,sc-large__av-loose__dp-weekend_high__sev-leicht,praxisnah_v1__sc-large__av-loose__dp-weekend_high__sev-leicht,large,leicht,V2,V2,0.0,3,3
praxisnah_v1,sc-large__av-loose__dp-weekend_high__sev-leicht,praxisnah_v1__sc-large__av-loose__dp-weekend_high__sev-leicht,large,leicht,V2,V3,0.0,3,39
praxisnah_v1,sc-large__av-loose__dp-weekend_high__sev-leicht,praxisnah_v1__sc-large__av-loose__dp-weekend_high__sev-leicht,large,leicht,V2,V4,0.0,3,143
praxisnah_v1,sc-large__av-loose__dp-weekend_high__sev-leicht,praxisnah_v1__sc-large__av-loose__dp-weekend_high__sev-leicht,large,leicht,V3,V1,0.0,39,8
praxisnah_v1,sc-large__av-loose__dp-weekend_high__sev-leicht,praxisnah_v1__sc-large__av-loose__dp-weekend_high__sev-leicht,large,leicht,V3,V2,0.0,39,3
praxisnah_v1,sc-large__av-loose__dp-weekend_high__sev-leicht,praxisnah_v1__sc-large__av-loose__dp-weekend_high__sev-leicht,large,leicht,V3,V3,0.0,39,39
praxisnah_v1,sc-large__av-loose__dp-weekend_high__sev-leicht,praxisnah_v1__sc-large__av-loose__dp-weekend_high__sev-leicht,large,leicht,V3,V4,0.13986013986013987,39,143
praxisnah_v1,sc-large__av-loose__dp-weekend_high__sev-leicht,praxisnah_v1__sc-large__av-loose__dp-weekend_high__sev-leicht,large,leicht,V4,V1,0.0,143,8
praxisnah_v1,sc-large__av-loose__dp-weekend_high__sev-leicht,praxisnah_v1__sc-large__av-loose__dp-weekend_high__sev-leicht,large,leicht,V4,V2,0.0,143,3
praxisnah_v1,sc-large__av-loose__dp-weekend_high__sev-leicht,praxisnah_v1__sc-large__av-loose__dp-weekend_high__sev-leicht,large,leicht,V4,V3,0.5641025641025641,143,39
praxisnah_v1,sc-large__av-loose__dp-weekend_high__sev-leicht,praxisnah_v1__sc-large__av-loose__dp-weekend_high__sev-leicht,large,leicht,V4,V4,0.0,143,143
praxisnah_v1,sc-large__av-loose__dp-weekend_high__sev-mittel,praxisnah_v1__sc-large__av-loose__dp-weekend_high__sev-mittel,large,mittel,V1,V1,0.0,5,5
praxisnah_v1,sc-large__av-loose__dp-weekend_high__sev-mittel,praxisnah_v1__sc-large__av-loose__dp-weekend_high__sev-mittel,large,mittel,V1,V2,0.0,5,1
praxisnah_v1,sc-large__av-loose__dp-weekend_high__sev-mittel,praxisnah_v1__sc-large__av-loose__dp-weekend_high__sev-mittel,large,mittel,V1,V3,0.0,5,48
praxisnah_v1,sc-large__av-loose__dp-weekend_high__sev-mittel,praxisnah_v1__sc-large__av-loose__dp-weekend_high__sev-mittel,large,mittel,V1,V4,0.0,5,157
praxisnah_v1,sc-large__av-loose__dp-weekend_high__sev-mittel,praxisnah_v1__sc-large__av-loose__dp-weekend_high__sev-mittel,large,mittel,V2,V1,0.0,1,5
praxisnah_v1,sc-large__av-loose__dp-weekend_high__sev-mittel,praxisnah_v1__sc-large__av-loose__dp-weekend_high__sev-mittel,large,mittel,V2,V2,0.0,1,1
praxisnah_v1,sc-large__av-loose__dp-weekend_high__sev-mittel,praxisnah_v1__sc-large__av-loose__dp-weekend_high__sev-mittel,large,mittel,V2,V3,0.0,1,48
praxisnah_v1,sc-large__av-loose__dp-weekend_high__sev-mittel,praxisnah_v1__sc-large__av-loose__dp-weekend_high__sev-mittel,large,mittel,V2,V4,0.0,1,157
praxisnah_v1,sc-large__av-loose__dp-weekend_high__sev-mittel,praxisnah_v1__sc-large__av-loose__dp-weekend_high__sev-mittel,large,mittel,V3,V1,0.4,48,5
praxisnah_v1,sc-large__av-loose__dp-weekend_high__sev-mittel,praxisnah_v1__sc-large__av-loose__dp-weekend_high__sev-mittel,large,mittel,V3,V2,0.0,48,1
praxisnah_v1,sc-large__av-loose__dp-weekend_high__sev-mittel,praxisnah_v1__sc-large__av-loose__dp-weekend_high__sev-mittel,large,mittel,V3,V3,0.0,48,48
praxisnah_v1,sc-large__av-loose__dp-weekend_high__sev-mittel,praxisnah_v1__sc-large__av-loose__dp-weekend_high__sev-mittel,large,mittel,V3,V4,0.006369426751592357,48,157
praxisnah_v1,sc-large__av-loose__dp-weekend_high__sev-mittel,praxisnah_v1__sc-large__av-loose__dp-weekend_high__sev-mittel,large,mittel,V4,V1,0.4,157,5
praxisnah_v1,sc-large__av-loose__dp-weekend_high__sev-mittel,praxisnah_v1__sc-large__av-loose__dp-weekend_high__sev-mittel,large,mittel,V4,V2,0.0,157,1
praxisnah_v1,sc-large__av-loose__dp-weekend_high__sev-mittel,praxisnah_v1__sc-large__av-loose__dp-weekend_high__sev-mittel,large,mittel,V4,V3,0.75,157,48
praxisnah_v1,sc-large__av-loose__dp-weekend_high__sev-mittel,praxisnah_v1__sc-large__av-loose__dp-weekend_high__sev-mittel,large,mittel,V4,V4,0.0,157,157
praxisnah_v1,sc-large__av-loose__dp-weekend_high__sev-schwer,praxisnah_v1__sc-large__av-loose__dp-weekend_high__sev-schwer,large,schwer,V1,V1,0.0,7,7
praxisnah_v1,sc-large__av-loose__dp-weekend_high__sev-schwer,praxisnah_v1__sc-large__av-loose__dp-weekend_high__sev-schwer,large,schwer,V1,V2,,7,0
praxisnah_v1,sc-large__av-loose__dp-weekend_high__sev-schwer,praxisnah_v1__sc-large__av-loose__dp-weekend_high__sev-schwer,large,schwer,V1,V3,0.0,7,58
praxisnah_v1,sc-large__av-loose__dp-weekend_high__sev-schwer,praxisnah_v1__sc-large__av-loose__dp-weekend_high__sev-schwer,large,schwer,V1,V4,0.0,7,168
praxisnah_v1,sc-large__av-loose__dp-weekend_high__sev-schwer,praxisnah_v1__sc-large__av-loose__dp-weekend_high__sev-schwer,large,schwer,V2,V1,0.0,0,7
praxisnah_v1,sc-large__av-loose__dp-weekend_high__sev-schwer,praxisnah_v1__sc-large__av-loose__dp-weekend_high__sev-schwer,large,schwer,V2,V2,,0,0
praxisnah_v1,sc-large__av-loose__dp-weekend_high__sev-schwer,praxisnah_v1__sc-large__av-loose__dp-weekend_high__sev-schwer,large,schwer,V2,V3,0.0,0,58
praxisnah_v1,sc-large__av-loose__dp-weekend_high__sev-schwer,praxisnah_v1__sc-large__av-loose__dp-weekend_high__sev-schwer,large,schwer,V2,V4,0.0,0,168
praxisnah_v1,sc-large__av-loose__dp-weekend_high__sev-schwer,praxisnah_v1__sc-large__av-loose__dp-weekend_high__sev-schwer,large,schwer,V3,V1,0.14285714285714285,58,7
praxisnah_v1,sc-large__av-loose__dp-weekend_high__sev-schwer,praxisnah_v1__sc-large__av-loose__dp-weekend_high__sev-schwer,large,schwer,V3,V2,,58,0
praxisnah_v1,sc-large__av-loose__dp-weekend_high__sev-schwer,praxisnah_v1__sc-large__av-loose__dp-weekend_high__sev-schwer,large,schwer,V3,V3,0.0,58,58
praxisnah_v1,sc-large__av-loose__dp-weekend_high__sev-schwer,praxisnah_v1__sc-large__av-loose__dp-weekend_high__sev-schwer,large,schwer,V3,V4,0.05952380952380952,58,168
praxisnah_v1,sc-large__av-loose__dp-weekend_high__sev-schwer,praxisnah_v1__sc-large__av-loose__dp-weekend_high__sev-schwer,large,schwer,V4,V1,0.0,168,7
praxisnah_v1,sc-large__av-loose__dp-weekend_high__sev-schwer,praxisnah_v1__sc-large__av-loose__dp-weekend_high__sev-schwer,large,schwer,V4,V2,,168,0
praxisnah_v1,sc-large__av-loose__dp-weekend_high__sev-schwer,praxisnah_v1__sc-large__av-loose__dp-weekend_high__sev-schwer,large,schwer,V4,V3,0.7931034482758621,168,58
praxisnah_v1,sc-large__av-loose__dp-weekend_high__sev-schwer,praxisnah_v1__sc-large__av-loose__dp-weekend_high__sev-schwer,large,schwer,V4,V4,0.0,168,168
praxisnah_v1,sc-large__av-tight__dp-weekday_high__sev-leicht,praxisnah_v1__sc-large__av-tight__dp-weekday_high__sev-leicht,large,leicht,V1,V1,0.0,5,5
praxisnah_v1,sc-large__av-tight__dp-weekday_high__sev-leicht,praxisnah_v1__sc-large__av-tight__dp-weekday_high__sev-leicht,large,leicht,V1,V2,0.0,5,1
praxisnah_v1,sc-large__av-tight__dp-weekday_high__sev-leicht,praxisnah_v1__sc-large__av-tight__dp-weekday_high__sev-leicht,large,leicht,V1,V3,0.0,5,51
praxisnah_v1,sc-large__av-tight__dp-weekday_high__sev-leicht,praxisnah_v1__sc-large__av-tight__dp-weekday_high__sev-leicht,large,leicht,V1,V4,0.0,5,127
praxisnah_v1,sc-large__av-tight__dp-weekday_high__sev-leicht,praxisnah_v1__sc-large__av-tight__dp-weekday_high__sev-leicht,large,leicht,V2,V1,0.0,1,5
praxisnah_v1,sc-large__av-tight__dp-weekday_high__sev-leicht,praxisnah_v1__sc-large__av-tight__dp-weekday_high__sev-leicht,large,leicht,V2,V2,0.0,1,1
praxisnah_v1,sc-large__av-tight__dp-weekday_high__sev-leicht,praxisnah_v1__sc-large__av-tight__dp-weekday_high__sev-leicht,large,leicht,V2,V3,0.0,1,51
praxisnah_v1,sc-large__av-tight__dp-weekday_high__sev-leicht,praxisnah_v1__sc-large__av-tight__dp-weekday_high__sev-leicht,large,leicht,V2,V4,0.0,1,127
praxisnah_v1,sc-large__av-tight__dp-weekday_high__sev-leicht,praxisnah_v1__sc-large__av-tight__dp-weekday_high__sev-leicht,large,leicht,V3,V1,0.0,51,5
praxisnah_v1,sc-large__av-tight__dp-weekday_high__sev-leicht,praxisnah_v1__sc-large__av-tight__dp-weekday_high__sev-leicht,large,leicht,V3,V2,0.0,51,1
praxisnah_v1,sc-large__av-tight__dp-weekday_high__sev-leicht,praxisnah_v1__sc-large__av-tight__dp-weekday_high__sev-leicht,large,leicht,V3,V3,0.0,51,51
praxisnah_v1,sc-large__av-tight__dp-weekday_high__sev-leicht,praxisnah_v1__sc-large__av-tight__dp-weekday_high__sev-leicht,large,leicht,V3,V4,0.0,51,127
praxisnah_v1,sc-large__av-tight__dp-weekday_high__sev-leicht,praxisnah_v1__sc-large__av-tight__dp-weekday_high__sev-leicht,large,leicht,V4,V1,0.0,127,5
praxisnah_v1,sc-large__av-tight__dp-weekday_high__sev-leicht,praxisnah_v1__sc-large__av-tight__dp-weekday_high__sev-leicht,large,leicht,V4,V2,0.0,127,1
praxisnah_v1,sc-large__av-tight__dp-weekday_high__sev-leicht,praxisnah_v1__sc-large__av-tight__dp-weekday_high__sev-leicht,large,leicht,V4,V3,0.9019607843137255,127,51
praxisnah_v1,sc-large__av-tight__dp-weekday_high__sev-leicht,praxisnah_v1__sc-large__av-tight__dp-weekday_high__sev-leicht,large,leicht,V4,V4,0.0,127,127
praxisnah_v1,sc-large__av-tight__dp-weekday_high__sev-mittel,praxisnah_v1__sc-large__av-tight__dp-weekday_high__sev-mittel,large,mittel,V1,V1,0.0,10,10
praxisnah_v1,sc-large__av-tight__dp-weekday_high__sev-mittel,praxisnah_v1__sc-large__av-tight__dp-weekday_high__sev-mittel,large,mittel,V1,V2,0.0,10,1
praxisnah_v1,sc-large__av-tight__dp-weekday_high__sev-mittel,praxisnah_v1__sc-large__av-tight__dp-weekday_high__sev-mittel,large,mittel,V1,V3,0.0,10,43
praxisnah_v1,sc-large__av-tight__dp-weekday_high__sev-mittel,praxisnah_v1__sc-large__av-tight__dp-weekday_high__sev-mittel,large,mittel,V1,V4,0.0,10,172
praxisnah_v1,sc-large__av-tight__dp-weekday_high__sev-mittel,praxisnah_v1__sc-large__av-tight__dp-weekday_high__sev-mittel,large,mittel,V2,V1,0.0,1,10
praxisnah_v1,sc-large__av-tight__dp-weekday_high__sev-mittel,praxisnah_v1__sc-large__av-tight__dp-weekday_high__sev-mittel,large,mittel,V2,V2,0.0,1,1
praxisnah_v1,sc-large__av-tight__dp-weekday_high__sev-mittel,praxisnah_v1__sc-large__av-tight__dp-weekday_high__sev-mittel,large,mittel,V2,V3,0.0,1,43
praxisnah_v1,sc-large__av-tight__dp-weekday_high__sev-mittel,praxisnah_v1__sc-large__av-tight__dp-weekday_high__sev-mittel,large,mittel,V2,V4,0.0,1,172
praxisnah_v1,sc-large__av-tight__dp-weekday_high__sev-mittel,praxisnah_v1__sc-large__av-tight__dp-weekday_high__sev-mittel,large,mittel,V3,V1,0.2,43,10
praxisnah_v1,sc-large__av-tight__dp-weekday_high__sev-mittel,praxisnah_v1__sc-large__av-tight__dp-weekday_high__sev-mittel,large,mittel,V3,V2,1.0,43,1
praxisnah_v1,sc-large__av-tight__dp-weekday_high__sev-mittel,praxisnah_v1__sc-large__av-tight__dp-weekday_high__sev-mittel,large,mittel,V3,V3,0.0,43,43
praxisnah_v1,sc-large__av-tight__dp-weekday_high__sev-mittel,praxisnah_v1__sc-large__av-tight__dp-weekday_high__sev-mittel,large,mittel,V3,V4,0.09883720930232558,43,172
praxisnah_v1,sc-large__av-tight__dp-weekday_high__sev-mittel,praxisnah_v1__sc-large__av-tight__dp-weekday_high__sev-mittel,large,mittel,V4,V1,0.3,172,10
praxisnah_v1,sc-large__av-tight__dp-weekday_high__sev-mittel,praxisnah_v1__sc-large__av-tight__dp-weekday_high__sev-mittel,large,mittel,V4,V2,1.0,172,1
praxisnah_v1,sc-large__av-tight__dp-weekday_high__sev-mittel,praxisnah_v1__sc-large__av-tight__dp-weekday_high__sev-mittel,large,mittel,V4,V3,0.4883720930232558,172,43
praxisnah_v1,sc-large__av-tight__dp-weekday_high__sev-mittel,praxisnah_v1__sc-large__av-tight__dp-weekday_high__sev-mittel,large,mittel,V4,V4,0.0,172,172
praxisnah_v1,sc-large__av-tight__dp-weekday_high__sev-schwer,praxisnah_v1__sc-large__av-tight__dp-weekday_high__sev-schwer,large,schwer,V1,V1,0.0,9,9
praxisnah_v1,sc-large__av-tight__dp-weekday_high__sev-schwer,praxisnah_v1__sc-large__av-tight__dp-weekday_high__sev-schwer,large,schwer,V1,V2,0.6666666666666666,9,3
praxisnah_v1,sc-large__av-tight__dp-weekday_high__sev-schwer,praxisnah_v1__sc-large__av-tight__dp-weekday_high__sev-schwer,large,schwer,V1,V3,0.0,9,33
praxisnah_v1,sc-large__av-tight__dp-weekday_high__sev-schwer,praxisnah_v1__sc-large__av-tight__dp-weekday_high__sev-schwer,large,schwer,V1,V4,0.0,9,139
praxisnah_v1,sc-large__av-tight__dp-weekday_high__sev-schwer,praxisnah_v1__sc-large__av-tight__dp-weekday_high__sev-schwer,large,schwer,V2,V1,0.0,3,9
praxisnah_v1,sc-large__av-tight__dp-weekday_high__sev-schwer,praxisnah_v1__sc-large__av-tight__dp-weekday_high__sev-schwer,large,schwer,V2,V2,0.0,3,3
praxisnah_v1,sc-large__av-tight__dp-weekday_high__sev-schwer,praxisnah_v1__sc-large__av-tight__dp-weekday_high__sev-schwer,large,schwer,V2,V3,0.0,3,33
praxisnah_v1,sc-large__av-tight__dp-weekday_high__sev-schwer,praxisnah_v1__sc-large__av-tight__dp-weekday_high__sev-schwer,large,schwer,V2,V4,0.0,3,139
praxisnah_v1,sc-large__av-tight__dp-weekday_high__sev-schwer,praxisnah_v1__sc-large__av-tight__dp-weekday_high__sev-schwer,large,schwer,V3,V1,0.0,33,9
praxisnah_v1,sc-large__av-tight__dp-weekday_high__sev-schwer,praxisnah_v1__sc-large__av-tight__dp-weekday_high__sev-schwer,large,schwer,V3,V2,0.3333333333333333,33,3
praxisnah_v1,sc-large__av-tight__dp-weekday_high__sev-schwer,praxisnah_v1__sc-large__av-tight__dp-weekday_high__sev-schwer,large,schwer,V3,V3,0.0,33,33
praxisnah_v1,sc-large__av-tight__dp-weekday_high__sev-schwer,praxisnah_v1__sc-large__av-tight__dp-weekday_high__sev-schwer,large,schwer,V3,V4,0.0,33,139
praxisnah_v1,sc-large__av-tight__dp-weekday_high__sev-schwer,praxisnah_v1__sc-large__av-tight__dp-weekday_high__sev-schwer,large,schwer,V4,V1,0.0,139,9
praxisnah_v1,sc-large__av-tight__dp-weekday_high__sev-schwer,praxisnah_v1__sc-large__av-tight__dp-weekday_high__sev-schwer,large,schwer,V4,V2,0.3333333333333333,139,3
praxisnah_v1,sc-large__av-tight__dp-weekday_high__sev-schwer,praxisnah_v1__sc-large__av-tight__dp-weekday_high__sev-schwer,large,schwer,V4,V3,0.8787878787878788,139,33
praxisnah_v1,sc-large__av-tight__dp-weekday_high__sev-schwer,praxisnah_v1__sc-large__av-tight__dp-weekday_high__sev-schwer,large,schwer,V4,V4,0.0,139,139
praxisnah_v1,sc-large__av-tight__dp-weekend_high__sev-leicht,praxisnah_v1__sc-large__av-tight__dp-weekend_high__sev-leicht,large,leicht,V1,V1,0.0,4,4
praxisnah_v1,sc-large__av-tight__dp-weekend_high__sev-leicht,praxisnah_v1__sc-large__av-tight__dp-weekend_high__sev-leicht,large,leicht,V1,V2,0.0,4,2
praxisnah_v1,sc-large__av-tight__dp-weekend_high__sev-leicht,praxisnah_v1__sc-large__av-tight__dp-weekend_high__sev-leicht,large,leicht,V1,V3,0.0,4,38
praxisnah_v1,sc-large__av-tight__dp-weekend_high__sev-leicht,praxisnah_v1__sc-large__av-tight__dp-weekend_high__sev-leicht,large,leicht,V1,V4,0.0,4,142
praxisnah_v1,sc-large__av-tight__dp-weekend_high__sev-leicht,praxisnah_v1__sc-large__av-tight__dp-weekend_high__sev-leicht,large,leicht,V2,V1,0.0,2,4
praxisnah_v1,sc-large__av-tight__dp-weekend_high__sev-leicht,praxisnah_v1__sc-large__av-tight__dp-weekend_high__sev-leicht,large,leicht,V2,V2,0.0,2,2
praxisnah_v1,sc-large__av-tight__dp-weekend_high__sev-leicht,praxisnah_v1__sc-large__av-tight__dp-weekend_high__sev-leicht,large,leicht,V2,V3,0.05263157894736842,2,38
praxisnah_v1,sc-large__av-tight__dp-weekend_high__sev-leicht,praxisnah_v1__sc-large__av-tight__dp-weekend_high__sev-leicht,large,leicht,V2,V4,0.0,2,142
praxisnah_v1,sc-large__av-tight__dp-weekend_high__sev-leicht,praxisnah_v1__sc-large__av-tight__dp-weekend_high__sev-leicht,large,leicht,V3,V1,0.25,38,4
